model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,compute_time_ms,weight_stream_time_ms,noc_total_latency_ms,act_spill_time_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,bottleneck,grid_dim,sram_per_tile_kb,compression,hbm_bandwidth_gb_s
LLaMA-3-70B,dense,1024,128.0,1048.576,20.209041808695652,18.80598260869565,1.5837866666666667,1.0240426666666667,0.2839893333333333,897.714103916485,85.61268843808031,0.7293928210432001,True,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,1200.0
DeepSeek-V3-MoE,moe,1024,128.0,1048.576,66.6312551884058,65.44695652173912,0.9813333333333333,0.8960426666666667,0.229376,947.5435975605935,90.36479926687178,1.7573026463744001,True,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,1200.0
LLaMA-3-70B,dense,1024,128.0,1048.576,20.01953354202898,18.80598260869565,0.7918933333333333,1.0240426666666667,0.14199466666666666,906.2120163897341,86.42311252496091,0.7293928210432001,True,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,2400.0
DeepSeek-V3-MoE,moe,1024,128.0,1048.576,66.4871271884058,65.44695652173912,0.49066666666666664,0.8960426666666667,0.114688,949.597642748051,90.56068828087339,1.7573026463744001,True,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,2400.0
LLaMA-3-70B,dense,1024,128.0,1048.576,19.924779408695652,18.80598260869565,0.39594666666666667,1.0240426666666667,0.07099733333333333,910.5215915407534,86.83410563857588,0.7293928210432001,True,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,4800.0
DeepSeek-V3-MoE,moe,1024,128.0,1048.576,66.4150631884058,65.44695652173912,0.24533333333333332,0.8960426666666667,0.057344,950.6280084699486,90.6589516134213,1.7573026463744001,True,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,4800.0
LLaMA-3-70B,dense,1024,128.0,1048.576,19.47858847536232,18.80598260869565,1.5837866666666667,0.5120426666666666,0.06553600000000001,931.3786715732,88.82319179279328,0.6969658179584,True,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,1200.0
DeepSeek-V3-MoE,moe,1024,128.0,1048.576,65.99210852173913,65.44695652173912,0.9813333333333333,0.4480426666666667,0.038229333333333344,956.7207453358111,91.24000027998076,1.7289290186752,True,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,1200.0
LLaMA-3-70B,dense,1024,128.0,1048.576,19.398306875362316,18.80598260869565,0.7918933333333333,0.5120426666666666,0.032768000000000005,935.233264164203,89.19079438821821,0.6969658179584,True,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,2400.0
DeepSeek-V3-MoE,moe,1024,128.0,1048.576,65.94355385507245,65.44695652173912,0.49066666666666664,0.4480426666666667,0.019114666666666672,957.4251850295677,91.30718088432003,1.7289290186752,True,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,2400.0
LLaMA-3-70B,dense,1024,128.0,1048.576,19.358166075362316,18.80598260869565,0.39594666666666667,0.5120426666666666,0.016384000000000003,937.1725496969343,89.37573906869261,0.6969658179584,True,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,4800.0
DeepSeek-V3-MoE,moe,1024,128.0,1048.576,65.91927652173912,65.44695652173912,0.24533333333333332,0.4480426666666667,0.009557333333333336,957.7777940323533,91.34080829928907,1.7289290186752,True,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,4800.0
LLaMA-3-70B,dense,1024,256.0,1048.576,21.46951754202898,18.80598260869565,1.5837866666666667,2.048042666666667,0.5679786666666666,845.0092938879096,80.58636607054802,0.7716982489088,True,Compute Pipeline Bound (Balanced Design),32x32,256,None,1200.0
DeepSeek-V3-MoE,moe,1024,256.0,1048.576,67.72719118840578,65.44695652173912,0.9813333333333333,1.7920426666666667,0.458752,932.2108025352194,88.9025499854297,1.7915013234688,True,Compute Pipeline Bound (Balanced Design),32x32,256,None,1200.0
LLaMA-3-70B,dense,1024,256.0,1048.576,21.161771408695653,18.80598260869565,0.7918933333333333,2.048042666666667,0.2839893333333333,857.2978843750875,81.75829738379359,0.7716982489088,True,Compute Pipeline Bound (Balanced Design),32x32,256,None,2400.0
DeepSeek-V3-MoE,moe,1024,256.0,1048.576,67.48309518840578,65.44695652173912,0.49066666666666664,1.7920426666666667,0.229376,935.5827422398276,89.22412321470523,1.7915013234688,True,Compute Pipeline Bound (Balanced Design),32x32,256,None,2400.0
LLaMA-3-70B,dense,1024,256.0,1048.576,21.007898342028984,18.80598260869565,0.39594666666666667,2.048042666666667,0.14199466666666666,863.5771919178002,82.3571388166237,0.7716982489088,True,Compute Pipeline Bound (Balanced Design),32x32,256,None,4800.0
DeepSeek-V3-MoE,moe,1024,256.0,1048.576,67.36104718840579,65.44695652173912,0.24533333333333332,1.7920426666666667,0.114688,937.2778762570512,89.3857837922145,1.7915013234688,True,Compute Pipeline Bound (Balanced Design),32x32,256,None,4800.0
LLaMA-3-70B,dense,1024,256.0,1048.576,20.008610875362315,18.80598260869565,1.5837866666666667,1.0240426666666667,0.13107200000000002,906.7067159891221,86.47029075518819,0.7068442427392,True,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,1200.0
DeepSeek-V3-MoE,moe,1024,256.0,1048.576,66.44889785507246,65.44695652173912,0.9813333333333333,0.8960426666666667,0.07645866666666669,950.1439645982093,90.61278959257214,1.7347540680704001,True,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,1200.0
LLaMA-3-70B,dense,1024,256.0,1048.576,19.91931807536232,18.80598260869565,0.7918933333333333,1.0240426666666667,0.06553600000000001,910.7712317091462,86.85791318026983,0.7068442427392,True,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,2400.0
DeepSeek-V3-MoE,moe,1024,256.0,1048.576,66.39594852173913,65.44695652173912,0.49066666666666664,0.8960426666666667,0.038229333333333344,950.9016838659699,90.68505133304309,1.7347540680704001,True,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,2400.0
LLaMA-3-70B,dense,1024,256.0,1048.576,19.87467167536232,18.80598260869565,0.39594666666666667,1.0240426666666667,0.032768000000000005,912.8171853421708,87.05303052350719,0.7068442427392,True,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,4800.0
DeepSeek-V3-MoE,moe,1024,256.0,1048.576,66.36947385507247,65.44695652173912,0.24533333333333332,0.8960426666666667,0.019114666666666672,951.2809968791797,90.72122544090078,1.7347540680704001,True,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,4800.0
LLaMA-3-70B,dense,1024,256.0,1048.576,19.365538875362315,18.80598260869565,1.5837866666666667,0.5120426666666666,0.0,936.8157516848121,89.34171215866203,0.6873021415424,False,Compute Pipeline Bound (Balanced Design),32x32,256,INT4,1200.0
DeepSeek-V3-MoE,moe,1024,256.0,1048.576,65.92443918840578,65.44695652173912,0.9813333333333333,0.4480426666666667,0.0,957.7027886541933,91.33365522901471,1.7232918740992,False,Compute Pipeline Bound (Balanced Design),32x32,256,INT4,1200.0
LLaMA-3-70B,dense,1024,256.0,1048.576,19.341782075362318,18.80598260869565,0.7918933333333333,0.5120426666666666,0.0,937.96640803917,89.45144729987811,0.6873021415424,False,Compute Pipeline Bound (Balanced Design),32x32,256,INT4,2400.0
DeepSeek-V3-MoE,moe,1024,256.0,1048.576,65.90971918840579,65.44695652173912,0.49066666666666664,0.4480426666666667,0.0,957.9166779746544,91.35405330416245,1.7232918740992,False,Compute Pipeline Bound (Balanced Design),32x32,256,INT4,2400.0
