model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,pipeline_stalls,bottleneck,grid_dim,sram_per_tile_kb,compression,hbm_bandwidth_gb_s
DeepSeek-V3-MoE,moe,1024,64,1048.58,8.54268,802.415,76.5242,0.361546,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,1200
LLaMA-3-70B,dense,1024,64,1048.58,18.7999,965.004,92.0299,0.740667,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,2400
DeepSeek-V3-MoE,moe,1024,64,1048.58,8.37504,818.476,78.0559,0.361546,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,2400
LLaMA-3-70B,dense,1024,64,1048.58,18.6979,970.268,92.5319,0.740667,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,4800
DeepSeek-V3-MoE,moe,1024,64,1048.58,8.29122,826.75,78.845,0.361546,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,64,FP8,4800
LLaMA-3-70B,dense,1024,64,1048.58,18.2734,992.807,94.6814,0.70824,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,1200
DeepSeek-V3-MoE,moe,1024,64,1048.58,7.56753,905.813,86.3851,0.333172,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,1200
LLaMA-3-70B,dense,1024,64,1048.58,18.1786,997.981,95.1749,0.70824,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,2400
DeepSeek-V3-MoE,moe,1024,64,1048.58,7.49547,914.522,87.2156,0.333172,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,2400
LLaMA-3-70B,dense,1024,64,1048.58,18.1313,1000.59,95.4236,0.70824,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,4800
DeepSeek-V3-MoE,moe,1024,64,1048.58,7.45943,918.939,87.6369,0.333172,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,64,INT4,4800
LLaMA-3-70B,dense,1024,128,1048.58,20.4358,887.753,84.6627,0.794247,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,128,None,1200
DeepSeek-V3-MoE,moe,1024,128,1048.58,10.446,656.213,62.5813,0.407019,Yes,102144,NoC Expert Routing Congestion (NoC Bandwidth Limit),32x32,128,None,1200
LLaMA-3-70B,dense,1024,128,1048.58,20.0278,905.836,86.3873,0.794247,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,128,None,2400
DeepSeek-V3-MoE,moe,1024,128,1048.58,10.1107,677.973,64.6566,0.407019,Yes,102144,NoC Expert Routing Congestion (NoC Bandwidth Limit),32x32,128,None,2400
LLaMA-3-70B,dense,1024,128,1048.58,19.8239,915.157,87.2761,0.794247,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,128,None,4800
DeepSeek-V3-MoE,moe,1024,128,1048.58,9.94304,689.404,65.7467,0.407019,Yes,102144,NoC Expert Routing Congestion (NoC Bandwidth Limit),32x32,128,None,4800
LLaMA-3-70B,dense,1024,128,1048.58,18.9749,956.102,91.181,0.729393,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,1200
DeepSeek-V3-MoE,moe,1024,128,1048.58,8.49566,806.855,76.9477,0.350271,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,1200
LLaMA-3-70B,dense,1024,128,1048.58,18.7854,965.747,92.1008,0.729393,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,2400
DeepSeek-V3-MoE,moe,1024,128,1048.58,8.35153,820.78,78.2757,0.350271,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,2400
LLaMA-3-70B,dense,1024,128,1048.58,18.6906,970.643,92.5678,0.729393,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,4800
DeepSeek-V3-MoE,moe,1024,128,1048.58,8.27947,827.924,78.957,0.350271,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,128,FP8,4800
LLaMA-3-70B,dense,1024,128,1048.58,18.2444,994.382,94.8316,0.696966,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,1200
DeepSeek-V3-MoE,moe,1024,128,1048.58,7.52051,911.476,86.9252,0.321898,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,1200
LLaMA-3-70B,dense,1024,128,1048.58,18.1642,998.777,95.2508,0.696966,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,2400
DeepSeek-V3-MoE,moe,1024,128,1048.58,7.47196,917.399,87.49,0.321898,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,2400
LLaMA-3-70B,dense,1024,128,1048.58,18.124,1000.99,95.4617,0.696966,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,4800
DeepSeek-V3-MoE,moe,1024,128,1048.58,7.44768,920.39,87.7752,0.321898,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,128,INT4,4800
LLaMA-3-70B,dense,1024,256,1048.58,20.2354,896.546,85.5013,0.771698,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,256,None,1200
DeepSeek-V3-MoE,moe,1024,256,1048.58,10.2636,667.872,63.6932,0.38447,Yes,102144,NoC Expert Routing Congestion (NoC Bandwidth Limit),32x32,256,None,1200
LLaMA-3-70B,dense,1024,256,1048.58,19.9276,910.391,86.8217,0.771698,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,256,None,2400
DeepSeek-V3-MoE,moe,1024,256,1048.58,10.0195,684.143,65.2449,0.38447,Yes,102144,NoC Expert Routing Congestion (NoC Bandwidth Limit),32x32,256,None,2400
LLaMA-3-70B,dense,1024,256,1048.58,19.7738,917.476,87.4973,0.771698,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,256,None,4800
DeepSeek-V3-MoE,moe,1024,256,1048.58,9.89745,692.579,66.0495,0.38447,Yes,102144,NoC Expert Routing Congestion (NoC Bandwidth Limit),32x32,256,None,4800
LLaMA-3-70B,dense,1024,256,1048.58,18.7745,966.309,92.1544,0.706844,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,1200
