model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,compute_time_ms,weight_stream_time_ms,noc_total_latency_ms,act_spill_time_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,bottleneck,grid_dim,sram_mb_size,hbm_bandwidth_gb_s,bus_bandwidth_gb_s
DeepSeek-V3-MoE,moe,65536,128.0,131.072,672.2032640000001,669.0133333333334,0.9813333333333333,2.1538133333333334,0.15291733333333332,93.92399982633823,71.65832506281909,2.25116684288,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,4800.0,2400.0
LLaMA-3-70B,dense,65536,128.0,131.072,145.22094933333332,144.17919999999998,0.39594666666666667,0.5051733333333334,0.180224,124.92647886953169,95.31133946955238,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,4800.0,4800.0
DeepSeek-V3-MoE,moe,65536,128.0,131.072,671.1263573333334,669.0133333333334,0.9813333333333333,1.0769066666666667,0.15291733333333332,94.07471269950696,71.77330985985333,2.25116684288,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,4800.0,4800.0
LLaMA-3-70B,dense,65536,128.0,131.072,144.96836266666665,144.17919999999998,0.39594666666666667,0.2525866666666667,0.180224,125.14414541618791,95.47740586562188,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,4800.0,9600.0
DeepSeek-V3-MoE,moe,65536,128.0,131.072,670.5879040000001,669.0133333333334,0.9813333333333333,0.5384533333333333,0.15291733333333332,94.15025066005364,71.830940750163,2.25116684288,True,Compute Pipeline Bound (Balanced Design),256x256,128.0,4800.0,9600.0
LLaMA-3-70B,dense,65536,256.0,131.072,147.18293333333332,144.17919999999998,1.5837866666666667,1.0103466666666667,0.5679786666666666,123.2611787755102,94.0408163265306,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,1200.0,2400.0
DeepSeek-V3-MoE,moe,65536,256.0,131.072,675.1586986666667,669.0133333333334,3.925333333333333,2.1538133333333334,0.458752,93.51285760797246,71.3446484435825,2.228618264576,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,1200.0,2400.0
LLaMA-3-70B,dense,65536,256.0,131.072,146.67776,144.17919999999998,1.5837866666666667,0.5051733333333334,0.5679786666666666,123.68570298799214,94.36470259703991,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,1200.0,4800.0
DeepSeek-V3-MoE,moe,65536,256.0,131.072,674.0817920000001,669.0133333333334,3.925333333333333,1.0769066666666667,0.458752,93.66225286085162,71.4586279761136,2.228618264576,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,1200.0,4800.0
LLaMA-3-70B,dense,65536,256.0,131.072,146.42517333333333,144.17919999999998,1.5837866666666667,0.2525866666666667,0.5679786666666666,123.89906356473494,94.52748379877849,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,1200.0,9600.0
